Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,trans_year,edad,val_trans_date,val_dob,val_amt,val_gender,val_is_fraud,val_amt_semantica,val_edad,val_lat_rango,val_long_rango,registro_valido,observaciones
119106,,377895991033232,"fraud_Bahringer, Schoen and Corkery",shopping_pos,1.07,Kimberly,Myers,F,6881 King Isle Suite 228,Higganum,CT,6441,41.4682,-72.5751,5438,"Librarian, academic",1964-11-17,cf581d75ccc9ba838a05dec8bfa78b5b,1375430128,41.240083,-71.837788,0,,,False,True,True,True,True,True,False,True,True,False,Fecha transacción inválida | Edad fuera de rango (18-120)
179292,,30364087349027,"fraud_Romaguera, Wehner and Tromp",kids_pets,94.99,Samuel,Sandoval,M,0005 Morrison Land,Mounds,OK,74047,35.8896,-96.0887,7163,Fitness centre manager,1982-02-05,b1bfaf13224da41f422db483fd810dd7,1377266716,35.156537,-95.806648,0,,,False,True,True,True,True,True,False,True,True,False,Fecha transacción inválida | Edad fuera de rango (18-120)
540729,,30328384440870,fraud_Berge-Hills,kids_pets,31.28,Helen,Campbell,F,182 Sergio Summit Apt. 129,Browning,MO,64630,40.029,-93.1607,602,Cytogeneticist,1954-07-14,cde9fc0136873645778d0ad8817db655,1388247749,39.888665,-93.106804,0,,,False,True,True,True,True,True,False,True,True,False,Fecha transacción inválida | Edad fuera de rango (18-120)
374360,,30364087349027,"fraud_Connelly, Reichert and Fritsch",gas_transport,73.06,Samuel,Sandoval,M,0005 Morrison Land,Mounds,OK,74047,35.8896,-96.0887,7163,Fitness centre manager,1982-02-05,90b8429191e5c83df1afba4e5db4d61e,1384425890,36.734101,-96.737345,0,,,False,True,True,True,True,True,False,True,True,False,Fecha transacción inválida | Edad fuera de rango (18-120)
314574,,4198470814557,fraud_Kuphal-Predovic,misc_net,9.99,Christie,Williamson,F,519 Jerry Views,Avoca,IA,51521,41.4768,-95.3509,2036,Engineering geologist,1971-08-20,e4893795b6b3e41667129b9ed13b9650,1382147409,40.922072,-94.899388,0,,,False,True,True,True,True,True,False,True,True,False,Fecha transacción inválida | Edad fuera de rango (18-120)
377296,,213126662687660,"fraud_Kihn, Brakus and Goyette",personal_care,28.5,Christopher,Luna,M,242 Brian Mountain,Laredo,TX,78040,27.5155,-99.4986,248858,Video editor,1971-01-28,b76319f767c5b27731982851c12366ba,1384535044,27.480792,-99.711391,0,,,False,True,True,True,True,True,False,True,True,False,Fecha transacción inválida | Edad fuera de rango (18-120)
399943,,639023984367,"fraud_Roob, Conn and Tremblay",shopping_pos,9.09,Destiny,Lowe,F,79472 Stevens Trace Apt. 120,Hannawa Falls,NY,13647,44.6087,-74.9732,69,Chief Executive Officer,1991-06-05,d21bc0886809d98c17b626db3c3c88d1,1385331976,44.774938,-74.50883,0,,,False,True,True,True,True,True,False,True,True,False,Fecha transacción inválida | Edad fuera de rango (18-120)
1481,,4990494243023,fraud_Fadel Inc,health_fitness,1.64,Martin,Ford,M,56812 Francis Courts,Corriganville,MD,21524,39.6967,-78.8031,626,Energy engineer,1960-12-13,2ee3bc727806dde7f17d20394297acd1,1371847580,40.213281,-78.469302,0,,,False,True,True,True,True,True,False,True,True,False,Fecha transacción inválida | Edad fuera de rango (18-120)
465665,,4452366298769043,"fraud_Stroman, Hudson and Erdman",gas_transport,55.9,Linda,Davis,F,6602 Ortiz Pine Apt. 179,Blooming Grove,TX,76626,32.0758,-96.701,1563,Financial adviser,1978-03-04,044fe6aac6c192d55144776bafdd0bd6,1386843323,32.600435,-97.304885,0,,,False,True,True,True,True,True,False,True,True,False,Fecha transacción inválida | Edad fuera de rango (18-120)
430957,,180094419304907,fraud_Weimann-Lockman,kids_pets,50.61,Sharon,Smith,F,17666 David Valleys,Sun City,CA,92585,33.7467,-117.1721,54287,"Designer, exhibition/display",1972-09-22,c397d59c441a8e74ffabd529da3cfb90,1386174701,34.302440999999995,-118.085049,0,,,False,True,True,True,True,True,False,True,True,False,Fecha transacción inválida | Edad fuera de rango (18-120)
50631,,2284059275940012,fraud_Dibbert and Sons,entertainment,2.35,Thomas,Mathis,M,26615 Nelson Lane,Moores Hill,IN,47032,39.0945,-85.0638,3289,Sub,1969-11-22,695c8ffd5e510d9b01455e0d77b4d6b4,1373275717,38.76271,-84.182873,0,,,False,True,True,True,True,True,False,True,True,False,Fecha transacción inválida | Edad fuera de rango (18-120)
312073,,213154573301411,fraud_Gislason Group,misc_pos,35.91,Christopher,Sheppard,M,39218 Baker Shoals,Bristow,IN,47515,38.1981,-86.6821,965,Horticultural therapist,1982-02-10,f9005efceb697e931f97c8bde065a760,1382072668,37.364532,-87.26940400000001,0,,,False,True,True,True,True,True,False,True,True,False,Fecha transacción inválida | Edad fuera de rango (18-120)
230636,,4642894980163,fraud_Nader-Maggio,personal_care,2.63,Eddie,Mendez,M,1831 Faith View Suite 653,Clarinda,IA,51632,40.7491,-95.038,7297,IT trainer,1990-07-13,2310cccd8945d776190bad2bc43dc238,1378989315,39.911906,-95.621173,0,,,False,True,True,True,True,True,False,True,True,False,Fecha transacción inválida | Edad fuera de rango (18-120)
108247,,30131826429364,"fraud_Schneider, Hayes and Nikolaus",food_dining,127.16,Brianna,Foley,F,57256 Raymond Ports,Knoxville,TN,37932,35.9335,-84.1481,391389,"Designer, industrial/product",1994-04-22,55707424c7dca4902d98337fdf4bf175,1375027729,36.094236,-85.027233,0,,,False,True,True,True,True,True,False,True,True,False,Fecha transacción inválida | Edad fuera de rango (18-120)
289179,,6011399591920186,fraud_Bradtke PLC,grocery_pos,125.11,Maria,Roy,F,58665 Nicholas Ford Suite 348,Sheffield,MA,1257,42.1001,-73.3611,2121,Radio producer,1973-10-14,4c61fb159872cc74472f8e4c0f99e4e9,1381138755,41.700562,-73.902571,0,,,False,True,True,True,True,True,False,True,True,False,Fecha transacción inválida | Edad fuera de rango (18-120)
189755,,4939976756738216,fraud_Pollich LLC,home,168.65,Michelle,Johnston,F,3531 Hamilton Highway,Roma,TX,78584,26.4215,-99.0025,18128,IT trainer,1990-11-07,f9aac37cf794997b1a921a6780de44fc,1377526653,26.108628,-98.499544,0,,,False,True,True,True,True,True,False,True,True,False,Fecha transacción inválida | Edad fuera de rango (18-120)
214161,,376656886990758,"fraud_Adams, Kovacek and Kuhlman",grocery_net,66.36,Richard,Vance,M,169 Shelia Knoll Suite 753,Zavalla,TX,75980,31.1569,-94.3871,2836,"Designer, jewellery",1985-12-03,d8de70f22faf89eba93ea1061407b34f,1378367148,31.031393,-95.073598,0,,,False,True,True,True,True,True,False,True,True,False,Fecha transacción inválida | Edad fuera de rango (18-120)
268873,,567868110212,fraud_Spencer PLC,entertainment,91.11,Dawn,Tucker,F,789 Herring Manors,Houston,TX,77007,29.7736,-95.4034,2906700,"Copywriter, advertising",1984-12-16,e0e374406780407dbc92f8bf769c3ed9,1380396136,29.575484000000003,-95.274885,0,,,False,True,True,True,True,True,False,True,True,False,Fecha transacción inválida | Edad fuera de rango (18-120)
